Афганістан | Прийняття
Албанія | Тирана
Алжир | Algiers
Андорра | Андорра-ла-велла
Ангола | Луанда
Аргентина | Буенос-айрес
Вірменія | Єреван
Австралія | Канберра
Австрія | Відень
Азербайджан | Баку
Багамські острови | Нассау
Байдарка | Манама
Бангладеш | Dhaka
Барбадос | Брідджет
Білорусь | Мінськ
Бельгія | Брюссель
Беліз | Бельмопан
Бутан | Thimphu
Болівія | Мир
Боснія і герцеговина | Сараєво
Ботсвана | Габороне
Бразил | Бразилія
Бруней | Сері бегаван
Болгарія | Софія
Буркіна-фасо | Уагадугу
Бурунді | Бужумбура
Cape verde | Пляжний
Камбоджа | Пномпень
Камерун | Яунде
Канадський | Оттава
Центральна африканська республіка | Бангі
Чистий | Сантьяго
Китайський | Пекін
Колумбія | Богота
Коморі | Мороні
Демократична республіка конго | Кіншаса
Республіка конго | Бризавілль
Коста-ріка | Сан-хосе
Хорватія | Zagreb
Куба | Гавана
Кіпр | Нікосія
Чеська республіка | Праг
Данія | Копенгаген
Домініка | Рожевий
Домініканська республіка | Санто-домінго
Еквадор | Quito
Єгипет | Кайр
Спаситель | Сан-сальвадор
Екваторіальна гвінея | Малабо
Еритрея | Асмара
Естонія | Тал
Ефіопія | Аддіс-абеба
Фіджі | Сува
Фінляндія | Гельсінкі
Франція | Паризький
Габон | Лібревілль
Гамбія | Банжул
Грузія | Тбілісі
Німеччина | Берлін
Гана | Accra
Греція | Афін
Гватемала | Гватемала
Гвінея | Конячка
Гвінея-бісау | Бісау
Гайана | Джорджтаун
Гондурас | Тегусігальпа
Угорщина | Будапешт
Ісландія | Reykjavik
Індія | Нью-делі
Індонезія | Джакарта
Іран | Тегеран
Ірак | Багдад
Ірландія | Дублін
Ізраїль | Єрусалим
Італія | Рим
Ямайка | Кінгстон
Японія | Токіо
Jordan | Амаман
Казахстан | Астана
Кенія | Наробляти
Кірібаті | Південна тарава
Косово | Прістіна
Кувейт | Кувейт-сіті
Киргизстан | Бішкек
Лагорати | У'єднання
Латвія | Рига
Ліван | Бейрут
Лесото | Масеру
Ліберія | Монровія
Лівія | Тріполі
Ліхтенштейн | Вадуц
Литва | Вул
Люксембург | Люксембург
Македонія | Скоп'є
Мадагаскар | Антананаріво
Малаві | Лілонгве
Малайзія | Куала-лумпур
Малдиви | Чоловічий
Малі | Бамако
Малта | Валлетта
Маршаллові острови | Манджер
Мавританія | Нуакшот
Маврикій | Порт луї
Мексика | Мехіко
Мікронезія | Палікір
Молдова | Китінау
Монако | Монако
Монголія | Уланбаатар
Чорногорія | Подгориця
Марокко | Рабат
Мозамбік | Maputo
Намібія | Віндгук
Науру | Яренський район
Непал | Катманду
Нідерланди | Амстердам
Нова зеландія | Веллінгтон
Нікарагуа | Манагуа
Ніг | Німець
Нігерія | Ubuja
Північна корея | Пыньяг
Норвегія | Осло
Оман | Мускат
Пакистан | Ісламабад
Палау | Дроблення
Палестина | Рамалла
Панама | Панама-сіті
Папуа-нова гвінея | Порт-морсбі
Парагвай | Припущення
Перу | Лиша
Філіппіни | Маніла
Польща | Варшава
Португалія | Лісабон
Катар | Доха
Румунія | Бухарест
Росія | Москва
Руб | Кігалі
Сент-кітс і невіс | Басейн
Сент-люсія | Кастрова
Сент-вінсент і гренадіни | Кінгстун
Самоа | Апія
Сан-марино | Сан-марино
Саудівська аравія | Riyadh
Сенегал | Дакар
Сербія | Бельград
Сейшельські острови | Вікторія
Сьєрра-леоне | Фрітаун
Сінгапур | Сінгапур
Словаччина | Братислава
Словенія | Любляна
Соломонові острови | Хазяйна
Сомалі | Могадішу
Південна африка | Преторія
Південна корея | Село
Південний судан | Вже
Іспанія | Мадрид
Суданський | Хартум
Сурінам | Парамарібо
Слава | Мбабан
Швеція | Запашний
Швейцарія | Берн
Сирія | Дамак
Тайвань | Тайбей
Таджикистан | Душанбе
Танзанія | Додома
Таїланд | Бангкок
Йти | Лом
Тринідад і тобаго | Порт іспанії
Туніс | Туніс
Індичка | Анкара
Туркменістан | Ашгабат
Тувалу | Funafuti
Уганда | Кампала
Україна | Київ
Об'єднані арабські емірати | Абу-дабі
Об'єднане королівство | Лондон
Сполучені штати америки | Вашингтон
Уругвай | Монтевідео
Узбекистан | Ташкент
Вануту | Порт віла
Венесуела | Каракас
В'єтнам | Ханой
Замбія | Лусака
Зімбабве | Халат
